Тип;Неприсоединенная высота;Длина;Объем;Толщина;ADSK_Этаж;ADSK_Номер секции;Группа модели
BRU_ЛЛУ_250;3655.0;635.0;0.58;250.0;Этаж -01 (отм. -3,900);Секция 6;Монолитная стена
BRU_Перегородка_БлокКерамический10,7НФ_250мм;3255.0;850.0;0.69;250.0;Этаж -01 (отм. -3,900);Секция 7;BRU_Перегородка_БлокКерамический10,7НФ_250мм
BRU_Перегородка_БлокКерамический10,7НФ_250мм;3655.0;2405.0;2.20;250.0;Этаж -01 (отм. -3,900);Секция 6;BRU_Перегородка_БлокКерамический10,7НФ_250мм
BRU_ВнешняяСтена_БлокКерамический10,7НФ_250мм;2820.0;725.0;0.60;250.0;Этаж 03 (отм. +7,200);Секция 6;BRU_ВнешняяСтена_БлокКерамический10,7НФ_250мм
BRU_Перегородка_БлокКерамический10,7НФ_250мм;4020.0;4960.0;2.39;250.0;Этаж 01 (отм. +0,000);Секция 6;BRU_Перегородка_БлокКерамический10,7НФ_250мм
BRU_Перегородка_БлокКерамический10,7НФ_250мм;4020.0;3200.0;0.75;250.0;Этаж 01 (отм. +0,000);Секция 6;BRU_Перегородка_БлокКерамический10,7НФ_250мм
BRU_Перегородка_БлокКерамический10,7НФ_250мм;3255.0;3495.0;1.99;250.0;Этаж -01 (отм. -3,900);Секция 7;BRU_Перегородка_БлокКерамический10,7НФ_250мм
BRU_ЛЛУ_250;3655.0;17250.0;15.76;250.0;Этаж -01 (отм. -3,900);Секция 6;Монолитная стена
BRU_Перегородка_БлокКерамический10,7НФ_250мм;3055.0;13675.0;10.38;250.0;Этаж -01 (отм. -3,900);Секция 7;BRU_Перегородка_БлокКерамический10,7НФ_250мм
BRU_ВнешняяСтена_БлокКерамический10,7НФ_250мм;2820.0;850.0;0.60;250.0;Этаж 03 (отм. +7,200);Секция 6;BRU_ВнешняяСтена_БлокКерамический10,7НФ_250мм
BRU_ВнешняяСтена_БлокКерамический10,7НФ_250мм;2820.0;850.0;0.60;250.0;Этаж 03 (отм. +7,200);Секция 6;BRU_ВнешняяСтена_БлокКерамический10,7НФ_250мм
BRU_Перегородка_БлокКерамический10,7НФ_250мм;4020.0;3245.0;0.79;250.0;Этаж 01 (отм. +0,000);Секция 7;BRU_Перегородка_БлокКерамический10,7НФ_250мм
BRU_Перегородка_БлокКерамический10,7НФ_250мм;4020.0;3200.0;0.75;250.0;Этаж 01 (отм. +0,000);Секция 7;BRU_Перегородка_БлокКерамический10,7НФ_250мм
BRU_Перегородка_БлокКерамический10,7НФ_250мм;2820.0;365.0;0.22;250.0;Этаж 03 (отм. +7,200);Секция 7;BRU_Перегородка_БлокКерамический10,7НФ_250мм
BRU_Обшивка_ГКЛ_КНАУФ_С626_50_ГСП-A_12,5;2820.0;1700.0;0.36;75.0;Этаж 03 (отм. +7,200);Секция 7;BRU_Обшивка_ГКЛ_75_ГСП-А(12,5)_х2
BRU_Перегородка_БлокКерамический10,7НФ_250мм;2820.0;3090.0;2.18;250.0;Этаж 03 (отм. +7,200);Секция 7;BRU_Перегородка_БлокКерамический10,7НФ_250мм
BRU_ВнешняяСтена_БлокКерамический10,7НФ_250мм;2820.0;850.0;0.60;250.0;Этаж 03 (отм. +7,200);Секция 7;BRU_ВнешняяСтена_БлокКерамический10,7НФ_250мм
BRU_Перегородка_БлокКерамический10,7НФ_250мм;3655.0;3090.0;2.21;250.0;Этаж -01 (отм. -3,900);Секция 7;BRU_Перегородка_БлокКерамический10,7НФ_250мм
BRU_ЛЛУ_160;4020.0;3000.0;1.40;160.0;Этаж 01 (отм. +0,000);Секция 7;Монолитная стена лестнично-лифтового узла
