Тип;Неприсоединенная высота;Длина;Объем;Толщина;ADSK_Этаж;ADSK_Номер секции;Группа модели
BRU_ЛЛУ_160;4020;6900;4.10;160;Этаж 01 (отм. -0,150);Секция 8;Монолитная стена
BRU_ЛЛУ_160;4020;6980;4.44;160;Этаж 01 (отм. -0,150);Секция 8;Монолитная стена
BRU_ЛЛУ_160;4020;2560;1.54;160;Этаж 01 (отм. -0,150);Секция 8;Монолитная стена
BRU_ЛЛУ_160;4020;2990;1.40;160;Этаж 01 (отм. -0,150);Секция 8;Монолитная стена
BRU_ЛЛУ_160;4020;3070;1.49;160;Этаж 01 (отм. -0,150);Секция 8;Монолитная стена
BRU_ЛЛУ_160;4020;4090;2.58;160;Этаж 01 (отм. -0,150);Секция 8;Монолитная стена
BRU_ЛЛУ_160;4020;2760;1.67;160;Этаж 01 (отм. -0,150);Секция 8;Монолитная стена
BRU_ЛЛУ_160;3690;6900;4.17;160;Этаж -01 (отм. -3,800);Секция 8;Монолитная стена
BRU_ЛЛУ_160;3690;6980;4.07;160;Этаж -01 (отм. -3,800);Секция 8;Монолитная стена
BRU_ЛЛУ_160;3690;2560;1.42;160;Этаж -01 (отм. -3,800);Секция 8;Монолитная стена
BRU_ЛЛУ_160;3690;3000;1.24;160;Этаж -01 (отм. -3,800);Секция 8;Монолитная стена
BRU_ЛЛУ_160;3690;5735;2.45;160;Этаж -01 (отм. -3,800);Секция 8;Монолитная стена
BRU_ЛЛУ_160;3690;4090;2.37;160;Этаж -01 (отм. -3,800);Секция 8;Монолитная стена
BRU_ЛЛУ_160;3690;2760;1.54;160;Этаж -01 (отм. -3,800);Секция 8;Монолитная стена
BRU_ЛЛУ_160;4020;6900;4.10;160;Этаж 01 (отм. -0,150);Секция 5;Монолитная стена
BRU_ЛЛУ_160;4020;6980;4.44;160;Этаж 01 (отм. -0,150);Секция 5;Монолитная стена
BRU_ЛЛУ_160;4020;2560;1.54;160;Этаж 01 (отм. -0,150);Секция 5;Монолитная стена
BRU_ЛЛУ_160;4020;2990;1.40;160;Этаж 01 (отм. -0,150);Секция 5;Монолитная стена
BRU_ЛЛУ_160;4020;3070;1.52;160;Этаж 01 (отм. -0,150);Секция 5;Монолитная стена
