Тип;Неприсоединенная высота;Длина;Объем;Толщина;ADSK_Этаж;ADSK_Номер секции;Группа модели
BRU_ВнешняяСтена_БлокКерамзитовыйПустотелый_250мм;4020.000;125.000;0.126;250.000;Этаж 01 (отм. -0,150);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_БлокКерамзитовыйПустотелый_250мм;2820.000;125.000;0.088;250.000;Этаж 03 (отм. +7,050);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_БлокКерамзитовыйПустотелый_250мм;2820.000;125.000;0.088;250.000;Этаж 03 (отм. +7,050);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_БлокКерамзитовыйПустотелый_250мм;2820.000;125.000;0.088;250.000;Этаж 04 (отм. +10,050);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_БлокКерамзитовыйПустотелый_250мм;2820.000;125.000;0.088;250.000;Этаж 05 (отм. +13,050);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_БлокКерамзитовыйПустотелый_250мм;2820.000;125.000;0.088;250.000;Этаж 04 (отм. +10,050);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_БлокКерамзитовыйПустотелый_250мм;2820.000;125.000;0.088;250.000;Этаж 05 (отм. +13,050);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_БлокКерамзитовыйПустотелый_250мм;4020.000;2070.000;0.461;250.000;Этаж 01 (отм. -0,150);Секция 1;Внешняя стена. Кладка
BRU_ВнешняяСтена_БлокКерамзитовыйПустотелый_250мм;4020.000;2690.000;1.115;250.000;Этаж 01 (отм. -0,150);Секция 1;Внешняя стена. Кладка
BRU_ВнешняяСтена_БлокКерамзитовыйПустотелый_250мм;4020.000;910.000;0.915;250.000;Этаж 01 (отм. -0,150);Секция 1;Внешняя стена. Кладка
BRU_ВнешняяСтена_БлокКерамзитовыйПустотелый_250мм;4020.000;3070.000;1.497;250.000;Этаж 01 (отм. -0,150);Секция 1;Внешняя стена. Кладка
BRU_ВнешняяСтена_БлокКерамзитовыйПустотелый_250мм;4020.000;250.000;0.251;250.000;Этаж 01 (отм. -0,150);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_БлокКерамзитовыйПустотелый_250мм;2820.000;125.000;0.088;250.000;Этаж 02 (отм. +4,050);Секция 1;Внешняя стена. Кладка
BRU_ВнешняяСтена_БлокКерамзитовыйПустотелый_250мм;2820.000;125.000;0.088;250.000;Этаж 02 (отм. +4,050);Секция 2;Внешняя стена. Кладка
BRU_ВнешняяСтена_БлокКерамзитовыйПустотелый_250мм;2820.000;125.000;0.088;250.000;Этаж 02 (отм. +4,050);Секция 5;Внешняя стена. Кладка
BRU_ВнешняяСтена_БлокКерамзитовыйПустотелый_250мм;2820.000;125.000;0.088;250.000;Этаж 02 (отм. +4,050);Секция 4;Внешняя стена. Кладка
BRU_ВнешняяСтена_БлокКерамзитовыйПустотелый_250мм;2820.000;1215.000;0.857;250.000;Этаж 03 (отм. +7,050);Секция 1;Внешняя стена. Кладка
BRU_ВнешняяСтена_БлокКерамзитовыйПустотелый_250мм;2820.000;910.000;0.642;250.000;Этаж 03 (отм. +7,050);Секция 1;Внешняя стена. Кладка
BRU_ВнешняяСтена_БлокКерамзитовыйПустотелый_250мм;2820.000;3450.000;1.200;250.000;Этаж 03 (отм. +7,050);Секция 1;Внешняя стена. Кладка
BRU_ФасадШтукатурный_Штукатурка_10мм_Palazzo 85;3000.000;3450.000;0.031;10.000;Этаж 03 (отм. +7,050);Секция 1;Штукатурка фасадная
