Тип;Неприсоединенная высота;Длина;Объем;Толщина;ADSK_Этаж;ADSK_Номер секции;Группа модели
BRU_Перегородка_БлокКерамический6,74НФ_120мм;2820;2360;0,78;120;Этаж 03 (отм. +7,200);Секция 1;Перегородка. Кладка
BRU_Перегородка_БлокКерамический10,5НФ_250мм;2820;3600;2,54;250;Этаж 03 (отм. +7,200);Секция 1;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамический10,5НФ_250мм;2820;2450;1,64;250;Этаж 03 (отм. +7,200);Секция 1;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамический10,5НФ_250мм;2820;3050;2,24;250;Этаж 03 (отм. +7,200);Секция 1;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамический10,5НФ_250мм;2815;1725;1,21;250;Этаж 03 (отм. +7,200);Секция 1;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамический10,5НФ_250мм;2820;3600;2,54;250;Этаж 03 (отм. +7,200);Секция 1;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамический10,5НФ_250мм;2820;1350;0,95;250;Этаж 03 (отм. +7,200);Секция 1;Внутренняя стена. Кладка
BRU_ВнешняяСтена_БлокКерамический10,5НФ_250мм;2820;3600;2,54;250;Этаж 03 (отм. +7,200);Секция 1;Внешняя стена. Кладка
BRU_ВнешняяСтена_БлокКерамический10,5НФ_250мм;2820;2700;1,90;250;Этаж 03 (отм. +7,200);Секция 1;Внешняя стена. Кладка
BRU_ВнешняяСтена_БлокКерамический10,5НФ_250мм;2820;3350;2,36;250;Этаж 03 (отм. +7,200);Секция 1;Внешняя стена. Кладка
BRU_Перегородка_БлокКерамический10,5НФ_250мм;2820;820;0,58;250;Этаж 03 (отм. +7,200);Секция 1;Внутренняя стена. Кладка
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A_12,5;2820;3350;0,93;125;Этаж 03 (отм. +7,200);Секция 1;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A_12,5;2820;2087,5;0,71;125;Этаж 03 (отм. +7,200);Секция 1;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A_12,5;2820;3605;1,02;125;Этаж 03 (отм. +7,200);Секция 1;Перегородка ГКЛ
BRU_Перегородка_БлокКерамический6,74НФ_120мм;2820;3245;1,09;120;Этаж 03 (отм. +7,200);Секция 1;Перегородка. Кладка
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A_12,5;2820;1617,5;0,37;125;Этаж 03 (отм. +7,200);Секция 1;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A_12,5;2820;685;0,24;125;Этаж 03 (отм. +7,200);Секция 1;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A_12,5;2820;1350;0,47;125;Этаж 03 (отм. +7,200);Секция 1;Перегородка ГКЛ
BRU_Зашивка_ГКЛ_КНАУФ_С626_50_ГСП-A_12,5;2820;1940;0,40;75;Этаж 03 (отм. +7,200);Секция 1;Обшивка ГКЛ
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A_12,5;2820;732,5;0,24;125;Этаж 03 (отм. +7,200);Секция 1;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A/ГСП-Н2_12,5;2820;1940;0,68;125;Этаж 03 (отм. +7,200);Секция 1;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A/ГСП-Н2_12,5;2820;1722,5;0,41;125;Этаж 03 (отм. +7,200);Секция 1;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A/ГСП-Н2_12,5;2820;2012,5;0,69;125;Этаж 03 (отм. +7,200);Секция 1;Перегородка ГКЛ
BRU_Перегородка_БлокКерамический10,5НФ_250мм;2820;2560;1,80;250;Этаж 03 (отм. +7,200);Секция 1;Внутренняя стена. Кладка
BRU_Зашивка_ГКЛ_КНАУФ_С626_50_ГСП-A_12,5;2820;1152,5;0,25;75;Этаж 03 (отм. +7,200);Секция 1;Обшивка ГКЛ
BRU_Зашивка_ГКЛ_КНАУФ_С626_50_ГСП-A_12,5;2820;3245;0,69;75;Этаж 03 (отм. +7,200);Секция 1;Обшивка ГКЛ
BRU_Зашивка_ГКЛ_КНАУФ_С626_50_ГСП-A_12,5;2820;1585;0,32;75;Этаж 03 (отм. +7,200);Секция 1;Обшивка ГКЛ
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A/ГСП-Н2_12,5;2820;700;0,25;125;Этаж 03 (отм. +7,200);Секция 1;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A_12,5;2820;1375;0,48;125;Этаж 03 (отм. +7,200);Секция 1;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A/ГСП-Н2_12,5;2820;1025;0,14;125;Этаж 03 (отм. +7,200);Секция 1;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A/ГСП-Н2_12,5;2820;1227,5;0,23;125;Этаж 03 (отм. +7,200);Секция 1;Перегородка ГКЛ
