Тип;Неприсоединенная высота;Длина;Объем;Толщина;ADSK_Этаж;ADSK_Номер секции;Группа модели
BRU_Перегородка_БлокКерамический10,7НФ_250мм;3490.0;1350.0;1.18;250.0;Этаж -01 (отм. -3,670);Секция 1;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамический10,7НФ_250мм;3490.0;17295.0;14.31;250.0;Этаж -01 (отм. -3,670);Секция 1;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамический10,7НФ_250мм;3490.0;3260.0;2.84;250.0;Этаж -01 (отм. -3,670);Секция 1;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамический10,7НФ_250мм;3490.0;3200.0;2.79;250.0;Этаж -01 (отм. -3,670);Секция 1;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамический10,7НФ_250мм;3490.0;3200.0;2.13;250.0;Этаж -01 (отм. -3,670);Секция 1;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамический10,7НФ_250мм;3490.0;3200.0;2.79;250.0;Этаж -01 (отм. -3,670);Секция 1;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамический10,7НФ_250мм;3490.0;3200.0;2.13;250.0;Этаж -01 (отм. -3,670);Секция 1;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамический10,7НФ_250мм;3490.0;1225.0;0.96;250.0;Этаж -01 (отм. -3,670);Секция 1;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамический10,7НФ_250мм;3490.0;3245.0;2.05;250.0;Этаж -01 (отм. -3,670);Секция 1;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамический10,7НФ_250мм;3490.0;3200.0;2.79;250.0;Этаж -01 (отм. -3,670);Секция 1;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамический10,7НФ_250мм;3490.0;3200.0;2.79;250.0;Этаж -01 (отм. -3,670);Секция 1;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамический10,7НФ_250мм;3490.0;3200.0;2.79;250.0;Этаж -01 (отм. -3,670);Секция 1;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамический10,7НФ_250мм;3490.0;3200.0;2.13;250.0;Этаж -01 (отм. -3,670);Секция 1;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамический10,7НФ_250мм;3490.0;50045.0;39.57;250.0;Этаж -01 (отм. -3,670);Секция 1;Внутренняя стена. Кладка
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A_12,5;2820.0;3200.0;0.71;125.0;Этаж 04 (отм. +10,200);Секция 1;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A_12,5;2695.0;3185.0;0.65;125.0;Этаж 04 (отм. +10,200);Секция 1;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A_12,5;2820.0;3200.0;0.71;125.0;Этаж 04 (отм. +10,200);Секция 1;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A_12,5;2820.0;3200.0;0.71;125.0;Этаж 04 (отм. +10,200);Секция 1;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A_12,5;2820.0;3200.0;0.71;125.0;Этаж 04 (отм. +10,200);Секция 1;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A_12,5;2820.0;3200.0;0.71;125.0;Этаж 04 (отм. +10,200);Секция 1;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A_12,5;2820.0;3200.0;0.71;125.0;Этаж 04 (отм. +10,200);Секция 1;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A_12,5;2820.0;3200.0;0.71;125.0;Этаж 06 (отм. +16,200);Секция 1;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A_12,5;2820.0;3200.0;0.71;125.0;Этаж 06 (отм. +16,200);Секция 1;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A_12,5;2820.0;3200.0;0.71;125.0;Этаж 06 (отм. +16,200);Секция 1;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A_12,5;2820.0;3200.0;0.71;125.0;Этаж 06 (отм. +16,200);Секция 1;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A_12,5;2820.0;3200.0;0.71;125.0;Этаж 06 (отм. +16,200);Секция 1;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_КНАУФ_С112_125/75_ГСП-A_12,5;2820.0;3185.0;0.70;125.0;Этаж 06 (отм. +16,200);Секция 1;Перегородка ГКЛ
BRU_Перегородка_ГКЛ_КНАУФ_С116_280/2x75_ГСП-А_12,5;2820.0;3260.0;2.03;280.0;Этаж 07 (отм. +19,200);Секция 1;Перегородка ГКЛ
