Тип;Неприсоединенная высота;Длина;Объем;Толщина;ADSK_Этаж;ADSK_Номер секции;Группа модели
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;3425;2720;2,33;250;Этаж 01 (отм.+0,000);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;3425;4710;4,03;250;Этаж 01 (отм.+0,000);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;3425;900;0,77;250;Этаж 01 (отм.+0,000);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;3425;1020;0,87;250;Этаж 01 (отм.+0,000);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;3425;2400;2,06;250;Этаж 01 (отм.+0,000);Секция 5;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;3425;4145;3,55;250;Этаж 01 (отм.+0,000);Секция 5;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;3425;1205;1,03;250;Этаж 01 (отм.+0,000);Секция 5;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;3425;3450;0,83;250;Этаж 01 (отм.+0,000);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;3425;10530;1,33;250;Этаж 01 (отм.+0,000);Секция 5;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;3425;700;0,49;250;Этаж 01 (отм.+0,000);Секция 5;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;3425;15770;2,46;250;Этаж 01 (отм.+0,000);Секция 5;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;3425;2165;1,85;250;Этаж 01 (отм.+0,000);Секция 5;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;3425;3380;2,89;250;Этаж 01 (отм.+0,000);Секция 5;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;3425;8625;7,49;250;Этаж 01 (отм.+0,000);Секция 5;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;3425;1080;0,86;250;Этаж 01 (отм.+0,000);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;3425;1080;0,79;250;Этаж 01 (отм.+0,000);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;3425;900;0,77;250;Этаж 01 (отм.+0,000);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;3425;900;0,77;250;Этаж 01 (отм.+0,000);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;3425;900;0,77;250;Этаж 01 (отм.+0,000);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;3425;900;0,77;250;Этаж 01 (отм.+0,000);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;3425;900;0,77;250;Этаж 01 (отм.+0,000);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;3425;1020;0,87;250;Этаж 01 (отм.+0,000);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;3425;1020;0,87;250;Этаж 01 (отм.+0,000);Секция 5;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;3425;3500;2,99;250;Этаж 01 (отм.+0,000);Секция 5;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;2720;1,92;250;Этаж 02 (отм.+3,600);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;4710;3,32;250;Этаж 02 (отм.+3,600);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;900;0,63;250;Этаж 02 (отм.+3,600);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;900;0,63;250;Этаж 02 (отм.+3,600);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;2400;1,69;250;Этаж 02 (отм.+3,600);Секция 5;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;4145;2,81;250;Этаж 02 (отм.+3,600);Секция 5;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;1075;0,84;250;Этаж 02 (отм.+3,600);Секция 5;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;3450;1,23;250;Этаж 02 (отм.+3,600);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;10405;4,52;250;Этаж 02 (отм.+3,600);Секция 5;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;700;0,41;250;Этаж 02 (отм.+3,600);Секция 5;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;8750;4,29;250;Этаж 02 (отм.+3,600);Секция 5;Внешняя стена. Кладка
BRU_Перегородка_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;2030;1,43;250;Этаж 02 (отм.+3,600);Секция 5;Внутренняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;2165;1,53;250;Этаж 02 (отм.+3,600);Секция 5;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;3380;2,38;250;Этаж 02 (отм.+3,600);Секция 5;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;8700;5,78;250;Этаж 02 (отм.+3,600);Секция 5;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;1205;0,85;250;Этаж 02 (отм.+3,600);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;3350;0,00;250;Этаж 02 (отм.+3,600);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;3190;0,00;250;Этаж 02 (отм.+3,600);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;900;0,63;250;Этаж 02 (отм.+3,600);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;900;0,63;250;Этаж 02 (отм.+3,600);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;900;0,63;250;Этаж 02 (отм.+3,600);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;900;0,63;250;Этаж 02 (отм.+3,600);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;900;0,63;250;Этаж 02 (отм.+3,600);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;1020;0,72;250;Этаж 02 (отм.+3,600);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;1020;0,72;250;Этаж 02 (отм.+3,600);Секция 5;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;7025;2,31;250;Этаж 02 (отм.+3,600);Секция 5;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;3500;2,47;250;Этаж 02 (отм.+3,600);Секция 5;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;4660;1,45;250;Этаж 02 (отм.+3,600);Секция 5;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;1080;0,67;250;Этаж 02 (отм.+3,600);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;3570;1,15;250;Этаж 02 (отм.+3,600);Секция 5;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;3450;1,49;250;Этаж 02 (отм.+3,600);Секция 5;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;1450;1,10;250;Этаж 02 (отм.+3,600);Секция 5;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;2720;1,92;250;Этаж 03 (отм.+6,600);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;4710;3,32;250;Этаж 03 (отм.+6,600);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;34370;12,68;250;Этаж 03 (отм.+6,600);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;3450;0,71;250;Этаж 03 (отм.+6,600);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;6925;2,59;250;Этаж 03 (отм.+6,600);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;700;0,58;250;Этаж 03 (отм.+6,600);Секция 5;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;26000;9,23;250;Этаж 03 (отм.+6,600);Секция 5;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;2165;1,53;250;Этаж 03 (отм.+6,600);Секция 5;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;3380;2,38;250;Этаж 03 (отм.+6,600);Секция 5;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;3200;1,33;250;Этаж 03 (отм.+6,600);Секция 5;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;1075;0,67;250;Этаж 03 (отм.+6,600);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;3355;1,46;250;Этаж 03 (отм.+6,600);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;775;0,63;250;Этаж 03 (отм.+6,600);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;3500;2,47;250;Этаж 03 (отм.+6,600);Секция 5;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;4660;1,42;250;Этаж 03 (отм.+6,600);Секция 5;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;1205;0,85;250;Этаж 03 (отм.+6,600);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;13550;4,98;250;Этаж 03 (отм.+6,600);Секция 5;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;3205;1,33;250;Этаж 03 (отм.+6,600);Секция 5;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;2720;1,92;250;Этаж 04 (отм.+9,600);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;4710;3,32;250;Этаж 04 (отм.+9,600);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;27600;9,84;250;Этаж 04 (отм.+9,600);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;6925;2,81;250;Этаж 04 (отм.+9,600);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;700;0,58;250;Этаж 04 (отм.+9,600);Секция 5;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;8875;4,38;250;Этаж 04 (отм.+9,600);Секция 5;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;2165;1,53;250;Этаж 04 (отм.+9,600);Секция 5;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;3380;2,38;250;Этаж 04 (отм.+9,600);Секция 5;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;3195;1,33;250;Этаж 04 (отм.+9,600);Секция 5;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;1200;0,84;250;Этаж 04 (отм.+9,600);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;3195;1,33;250;Этаж 04 (отм.+9,600);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;775;0,63;250;Этаж 04 (отм.+9,600);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;3500;2,47;250;Этаж 04 (отм.+9,600);Секция 5;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;4660;1,43;250;Этаж 04 (отм.+9,600);Секция 5;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;1205;0,85;250;Этаж 04 (отм.+9,600);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;10100;4,41;250;Этаж 04 (отм.+9,600);Секция 5;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;3205;1,33;250;Этаж 04 (отм.+9,600);Секция 5;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;1075;0,67;250;Этаж 03 (отм.+6,600);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;3200;1,33;250;Этаж 03 (отм.+6,600);Секция 6;Внешняя стена. Кладка
BRU_ВнешняяСтена_КирпичКерамическийРядовойПустотелый1,4НФ_250мм;2820;1075;0,67;250;Этаж 03 (отм.+6,600);Секция 6;Внешняя стена. Кладка
